Drug1,Drug2,VITAMINS,SYMPTOMS,vitamin_labels,combined_text,vitamin_inferred,inference_confidence
Ketoprofen,Nalidixicacid,C,"Fatigue,gumbleeding,slowhealing",['C'],"ketoprofen nalidixicacid fatigue,gumbleeding,slowhealing",False,
Mefenamicacid,Nalidixicacid,C,"Weakness,easybruising,fatigue",['C'],"mefenamicacid nalidixicacid weakness,easybruising,fatigue",False,
Adapalene,Nalidixicacid,C,"Poorwoundhealing,fatigue,gumbleeding",['C'],"adapalene nalidixicacid poorwoundhealing,fatigue,gumbleeding",False,
Magnesiumsalicylate,Nalidixicacid,C,"Weakness,bruising,slowhealing",['C'],"magnesiumsalicylate nalidixicacid weakness,bruising,slowhealing",False,
Quinapril,Nalidixicacid,C,"Fatigue,gumbleeding,poorwoundhealing",['C'],"quinapril nalidixicacid fatigue,gumbleeding,poorwoundhealing",False,
Theophylline,Nalidixicacid,C,"Weakness,easybruising,fatigue",['C'],"theophylline nalidixicacid weakness,easybruising,fatigue",False,
Dyphylline,Nalidixicacid,C,"Fatigue,slowhealing,gumbleeding",['C'],"dyphylline nalidixicacid fatigue,slowhealing,gumbleeding",False,
Aminophylline,Nalidixicacid,B6,"Irritability,ness,lowenergy",['B6'],"aminophylline nalidixicacid irritability,ness,lowenergy",False,
Varenicline,Nalidixicacid,B12,"Tingling,fatigue,brainfog",['B12'],"varenicline nalidixicacid tingling,fatigue,brainfog",False,
Ironsucrose,Nalidixicacid,C,"Fatigue,slowhealing,gumissues",['C'],"ironsucrose nalidixicacid fatigue,slowhealing,gumissues",False,
Iron,Nalidixicacid,C,"Weakness,easybruising,bleedinggums",['C'],"iron nalidixicacid weakness,easybruising,bleedinggums",False,
Ferricpyrophosphate,Nalidixicacid,C,"Tiredness,poorwoundhealing",['C'],"ferricpyrophosphate nalidixicacid tiredness,poorwoundhealing",False,
Lanthanumcarbonate,Nalidixicacid,D,"Bonepain,muscleweakness,lowmood",['D'],"lanthanumcarbonate nalidixicacid bonepain,muscleweakness,lowmood",False,
Strontiumranelate,Nalidixicacid,"Ca,D","Musclecramps,weakbones,fatigue",['D'],"strontiumranelate nalidixicacid musclecramps,weakbones,fatigue",False,
Tiaprofenicacid,Norfloxacin,B12,"Fatigue,ness,memoryissues",['B12'],"tiaprofenicacid norfloxacin fatigue,ness,memoryissues",False,
Carprofen,Norfloxacin,"B6,B12","Tingling,moodswings,weakness","['B6', 'B12']","carprofen norfloxacin tingling,moodswings,weakness",False,
Cyclophosphamide,Norfloxacin,",B12","Mouthsores,anemia,dizziness",['B12'],"cyclophosphamide norfloxacin mouthsores,anemia,dizziness",False,
Paclitaxel,Norfloxacin,"B1,B6",",muscleweakness","['B1', 'B6']","paclitaxel norfloxacin ,muscleweakness",False,
Docetaxel,Norfloxacin,"B1,B12","ness,weakness,fatigue","['B1', 'B12']","docetaxel norfloxacin ness,weakness,fatigue",False,
Cabazitaxel,Norfloxacin,",B12","Anemia,paleskin,lowenergy",['B12'],"cabazitaxel norfloxacin anemia,paleskin,lowenergy",False,
Anagrelide,Norfloxacin,B1,"Weakness,irritability",['B1'],"anagrelide norfloxacin weakness,irritability",False,
Acarbose,Norfloxacin,B12,"ness,tingling,tiredness",['B12'],"acarbose norfloxacin ness,tingling,tiredness",False,
Sunitinib,Norfloxacin,"B1,B6",",lossofappetite","['B1', 'B6']","sunitinib norfloxacin ,lossofappetite",False,
Crizotinib,Norfloxacin,"D,B12","Bonepain,tiredness","['D', 'B12']","crizotinib norfloxacin bonepain,tiredness",False,
Prednisolone,Norfloxacin,"D,C,B6","Boneweakness,bruising,infections","['D', 'C', 'B6']","prednisolone norfloxacin boneweakness,bruising,infections",False,
Panobinostat,Norfloxacin,"B12,","Fatigue,mouthulcers",['B12'],"panobinostat norfloxacin fatigue,mouthulcers",False,
Nilotinib,Norfloxacin,"D,B12","Weakness,tingling,bonepain","['D', 'B12']","nilotinib norfloxacin weakness,tingling,bonepain",False,
Dexamethasone,Norfloxacin,"D,C,B6","Bonepain,bruising,fatigue","['D', 'C', 'B6']","dexamethasone norfloxacin bonepain,bruising,fatigue",False,
Cabergoline,Norfloxacin,B6,"Moodchanges,dizziness",['B6'],"cabergoline norfloxacin moodchanges,dizziness",False,
Moxifloxacin,Norfloxacin,B12,"ness,tiredness",['B12'],"moxifloxacin norfloxacin ness,tiredness",False,
Pazopanib,Norfloxacin,"B1,B6","Weakness,","['B1', 'B6']","pazopanib norfloxacin weakness,",False,
Gemifloxacin,Norfloxacin,B12,"Tingling,fatigue",['B12'],"gemifloxacin norfloxacin tingling,fatigue",False,
Ciprofloxacin,Norfloxacin,B12,"Nerveissues,lowenergy",['B12'],"ciprofloxacin norfloxacin nerveissues,lowenergy",False,
Lenvatinib,Norfloxacin,"D,B1","Weakness,bonepain","['D', 'B1']","lenvatinib norfloxacin weakness,bonepain",False,
Ofloxacin,Norfloxacin,B12,"ness,weakness",['B12'],"ofloxacin norfloxacin ness,weakness",False,
Toremifene,Norfloxacin,D,"Boneweakness,fatigue",['D'],"toremifene norfloxacin boneweakness,fatigue",False,
Arsenictrioxide,Norfloxacin,B1,",confusion",['B1'],"arsenictrioxide norfloxacin ,confusion",False,
Levofloxacin,Norfloxacin,B12,"Tingling,fatigue",['B12'],"levofloxacin norfloxacin tingling,fatigue",False,
Goserelin,Norfloxacin,D,"Bonepain,weakness",['D'],"goserelin norfloxacin bonepain,weakness",False,
Prednisone,Norfloxacin,"D,C,B6","Boneloss,bruising,infections","['D', 'C', 'B6']","prednisone norfloxacin boneloss,bruising,infections",False,
Methylprednisolone,Norfloxacin,"D,C,B6","Weakness,swelling,boneissues","['D', 'C', 'B6']","methylprednisolone norfloxacin weakness,swelling,boneissues",False,
Formestane,Norfloxacin,D,"Bonetenderness,tiredness",['D'],"formestane norfloxacin bonetenderness,tiredness",False,
Ibrutinib,Norfloxacin,",B12","Anemia,mouthsores",['B12'],"ibrutinib norfloxacin anemia,mouthsores",False,
Bosutinib,Norfloxacin,B12,"ness,weakness",['B12'],"bosutinib norfloxacin ness,weakness",False,
Sucralfate,Norfloxacin,B12,"Tingling,lowenergy",['B12'],"sucralfate norfloxacin tingling,lowenergy",False,
Vandetanib,Norfloxacin,"B1,B6",",fatigue","['B1', 'B6']","vandetanib norfloxacin ,fatigue",False,
Masoprocol,Norfloxacin,E,"Weakimmunity,ness",['E'],"masoprocol norfloxacin weakimmunity,ness",False,
Pirfenidone,Norfloxacin,B6,"Moodchanges,tingling",['B6'],"pirfenidone norfloxacin moodchanges,tingling",False,
Mycophenolatemofetil,Norfloxacin,",B12","Anemia,weakness",['B12'],"mycophenolatemofetil norfloxacin anemia,weakness",False,
Vemurafenib,Norfloxacin,D,"Bonepain,weakness",['D'],"vemurafenib norfloxacin bonepain,weakness",False,
Ceritinib,Norfloxacin,"B12,","ness,mouthsores",['B12'],"ceritinib norfloxacin ness,mouthsores",False,
Rosiglitazone,Norfloxacin,D,"Boneweakness,tiredness",['D'],"rosiglitazone norfloxacin boneweakness,tiredness",False,
Acetylsalicylicacid,Norfloxacin,C,"Easybruising,gumbleeding",['C'],"acetylsalicylicacid norfloxacin easybruising,gumbleeding",False,
Tranilast,Norfloxacin,B6,"Tingling,moodchanges",['B6'],"tranilast norfloxacin tingling,moodchanges",False,
Chlorpropamide,Norfloxacin,B12,",weakness",['B12'],"chlorpropamide norfloxacin ,weakness",False,
Pentamidine,Norfloxacin,",B12","Anemia,",['B12'],"pentamidine norfloxacin anemia,",False,
Glipizide,Norfloxacin,B12,"Tingling,tiredness",['B12'],"glipizide norfloxacin tingling,tiredness",False,
Tolamide,Norfloxacin,B12,"Fatigue,ness",['B12'],"tolamide norfloxacin fatigue,ness",False,
Nateglinide,Norfloxacin,B12,"ness,fatigue",['B12'],"nateglinide norfloxacin ness,fatigue",False,
Gliclazide,Norfloxacin,B12,signs,['B12'],gliclazide norfloxacin signs,False,
Pioglitazone,Norfloxacin,D,"Bonepain,lowenergy",['D'],"pioglitazone norfloxacin bonepain,lowenergy",False,
Quinine,Norfloxacin,B1,"Nervepain,muscleweakness",['B1'],"quinine norfloxacin nervepain,muscleweakness",False,
Metformin,Norfloxacin,B12,"ness,tingling",['B12'],"metformin norfloxacin ness,tingling",False,
Tolazamide,Norfloxacin,B12,"Lowenergy,",['B12'],"tolazamide norfloxacin lowenergy,",False,
Glimepiride,Norfloxacin,B12,"Weakness,nerveissues",['B12'],"glimepiride norfloxacin weakness,nerveissues",False,
Repaglinide,Norfloxacin,B12,"Tingling,ness,fatigue",['B12'],"repaglinide norfloxacin tingling,ness,fatigue",False,
Glyburide,Norfloxacin,B12,"Weakness,",['B12'],"glyburide norfloxacin weakness,",False,
Chloroquine,Norfloxacin,B6,"Nervepain,moodchanges",['B6'],"chloroquine norfloxacin nervepain,moodchanges",False,
Salicylicacid,Norfloxacin,C,"Bruising,gumbleeding",['C'],"salicylicacid norfloxacin bruising,gumbleeding",False,
Fluticasonepropionate,Norfloxacin,D,"Bonepain,tiredness",['D'],"fluticasonepropionate norfloxacin bonepain,tiredness",False,
Fluticasonefuroate,Norfloxacin,D,"Muscleweakness,bonepain",['D'],"fluticasonefuroate norfloxacin muscleweakness,bonepain",False,
Diflorasone,Norfloxacin,D,"Weakbones,lowenergy",['D'],"diflorasone norfloxacin weakbones,lowenergy",False,
Flumethasone,Norfloxacin,D,"Musclepain,fatigue",['D'],"flumethasone norfloxacin musclepain,fatigue",False,
Desoximetasone,Norfloxacin,D,"Bonepain,weakness",['D'],"desoximetasone norfloxacin bonepain,weakness",False,
Mometasone,Norfloxacin,D,"Lowstrength,tiredness",['D'],"mometasone norfloxacin lowstrength,tiredness",False,
Clobetasolpropionate,Norfloxacin,D,"Bone,muscleissues",['D'],"clobetasolpropionate norfloxacin bone,muscleissues",False,
Difluprednate,Norfloxacin,D,"Weakness,jointpain",['D'],"difluprednate norfloxacin weakness,jointpain",False,
Fluprednidene,Norfloxacin,D,"Bonesoftening,fatigue",['D'],"fluprednidene norfloxacin bonesoftening,fatigue",False,
Beclomethasonedipropionate,Norfloxacin,D,"Weakbones,lowmood",['D'],"beclomethasonedipropionate norfloxacin weakbones,lowmood",False,
Tixocortol,Norfloxacin,D,"Muscleweakness,lowenergy",['D'],"tixocortol norfloxacin muscleweakness,lowenergy",False,
Fluocinonide,Norfloxacin,D,"Bonepain,muscleweakness",['D'],"fluocinonide norfloxacin bonepain,muscleweakness",False,
Ciclesonide,Norfloxacin,D,"Fatigue,weakbones",['D'],"ciclesonide norfloxacin fatigue,weakbones",False,
Cortisoneacetate,Norfloxacin,D,"Musclepain,tiredness",['D'],"cortisoneacetate norfloxacin musclepain,tiredness",False,
Alclometasone,Norfloxacin,D,"Weakbones,lowstrength",['D'],"alclometasone norfloxacin weakbones,lowstrength",False,
Fludrocortisone,Norfloxacin,D,"Bonediscomfort,fatigue",['D'],"fludrocortisone norfloxacin bonediscomfort,fatigue",False,
Flunisolide,Norfloxacin,D,"Muscleweakness,lowmood",['D'],"flunisolide norfloxacin muscleweakness,lowmood",False,
Triamcinolone,Norfloxacin,D,"Boneaches,weakness",['D'],"triamcinolone norfloxacin boneaches,weakness",False,
Fluocinoloneacetonide,Norfloxacin,D,"Tiredness,bonepain",['D'],"fluocinoloneacetonide norfloxacin tiredness,bonepain",False,
Paramethasone,Norfloxacin,D,"Generalweakness,aches",['D'],"paramethasone norfloxacin generalweakness,aches",False,
Prednicarbate,Norfloxacin,D,"Musclepain,fatigue",['D'],"prednicarbate norfloxacin musclepain,fatigue",False,
Rimexolone,Norfloxacin,D,"Weakbones,tiredvibe",['D'],"rimexolone norfloxacin weakbones,tiredvibe",False,
Betamethasone,Norfloxacin,D,"Bonethinning,weakness",['D'],"betamethasone norfloxacin bonethinning,weakness",False,
Deflazacort,Norfloxacin,D,"Musclepain,lowenergy",['D'],"deflazacort norfloxacin musclepain,lowenergy",False,
Desonide,Norfloxacin,D,"Fatigue,bonediscomfort",['D'],"desonide norfloxacin fatigue,bonediscomfort",False,
Amcinonide,Norfloxacin,D,"Weakmuscles,tiredness",['D'],"amcinonide norfloxacin weakmuscles,tiredness",False,
Ulobetasol,Norfloxacin,D,"Boneweakness,fatigue",['D'],"ulobetasol norfloxacin boneweakness,fatigue",False,
Loteprednol,Norfloxacin,D,"Lowenergy,musclepain",['D'],"loteprednol norfloxacin lowenergy,musclepain",False,
Halcinonide,Norfloxacin,D,"Weakness,bonepain",['D'],"halcinonide norfloxacin weakness,bonepain",False,
Fluocortolone,Norfloxacin,D,"Bonepain,muscleweakness,fatigue",['D'],"fluocortolone norfloxacin bonepain,muscleweakness,fatigue",False,
Flurandrenolide,Norfloxacin,D,"Weakbones,musclecramps,lowenergy",['D'],"flurandrenolide norfloxacin weakbones,musclecramps,lowenergy",False,
Budesonide,Norfloxacin,D,"Bonepain,increasedfracturerisk,tiredness",['D'],"budesonide norfloxacin bonepain,increasedfracturerisk,tiredness",False,
Difluocortolone,Norfloxacin,D,"Muscleweakness,boneaches,fatigue",['D'],"difluocortolone norfloxacin muscleweakness,boneaches,fatigue",False,
Medrysone,Norfloxacin,D,"Fatigue,bonediscomfort,lowmood",['D'],"medrysone norfloxacin fatigue,bonediscomfort,lowmood",False,
Clocortolone,Norfloxacin,D,"Bonepain,muscleweakness,tiredness",['D'],"clocortolone norfloxacin bonepain,muscleweakness,tiredness",False,
Hydrocortisone,Norfloxacin,D,"Osteopeniarisk,musclecramps,fatigue",['D'],"hydrocortisone norfloxacin osteopeniarisk,musclecramps,fatigue",False,
Fluorometholone,Norfloxacin,D,"Weakness,bonepain,lowstamina",['D'],"fluorometholone norfloxacin weakness,bonepain,lowstamina",False,
Clobetasone,Norfloxacin,D,"Bonefragility,fatigue,muscleaches",['D'],"clobetasone norfloxacin bonefragility,fatigue,muscleaches",False,
Fenbufen,Norfloxacin,C,"Easybruising,gumbleeding,slowwoundhealing",['C'],"fenbufen norfloxacin easybruising,gumbleeding,slowwoundhealing",False,
Meclofenamicacid,Norfloxacin,C,"Poorwoundhealing,gumissues,fatigue",['C'],"meclofenamicacid norfloxacin poorwoundhealing,gumissues,fatigue",False,
Lumiracoxib,Norfloxacin,C,"Bruising,slowhealing,lowenergy",['C'],"lumiracoxib norfloxacin bruising,slowhealing,lowenergy",False,
Tolmetin,Norfloxacin,C,"Bleedinggums,slowhealing,fatigue",['C'],"tolmetin norfloxacin bleedinggums,slowhealing,fatigue",False,
Tenoxicam,Norfloxacin,C,"Easybruising,tiredness,gumissues",['C'],"tenoxicam norfloxacin easybruising,tiredness,gumissues",False,
Cholinemagnesiumtrisalicylate,Norfloxacin,C,"Slowwoundhealing,fatigue,bruising",['C'],"cholinemagnesiumtrisalicylate norfloxacin slowwoundhealing,fatigue,bruising",False,
Etoricoxib,Norfloxacin,C,"Fatigue,easybruising,slowhealing",['C'],"etoricoxib norfloxacin fatigue,easybruising,slowhealing",False,
Suprofen,Norfloxacin,C,"Gumbleeding,slowhealing,lowenergy",['C'],"suprofen norfloxacin gumbleeding,slowhealing,lowenergy",False,
Flurbiprofen,Norfloxacin,C,"Bruising,fatigue,delayedwoundhealing",['C'],"flurbiprofen norfloxacin bruising,fatigue,delayedwoundhealing",False,
Indomethacin,Norfloxacin,C,"GI,bleedingtendency,fatigue,bruising",['C'],"indomethacin norfloxacin gi,bleedingtendency,fatigue,bruising",False,
Oxyphenazone,Norfloxacin,C,"Slowhealing,easybruising,fatigue",['C'],"oxyphenazone norfloxacin slowhealing,easybruising,fatigue",False,
Alclofenac,Norfloxacin,C,"Slowwoundhealing,fatigue,bruising",['C'],"alclofenac norfloxacin slowwoundhealing,fatigue,bruising",False,
Etodolac,Norfloxacin,C,"Bruising,gumissues,lowenergy",['C'],"etodolac norfloxacin bruising,gumissues,lowenergy",False,
Droxicam,Norfloxacin,C,"Fatigue,slowhealing,easybruising",['C'],"droxicam norfloxacin fatigue,slowhealing,easybruising",False,
Tolfenamicacid,Norfloxacin,C,"Fatigue,slowwoundhealing,easybruising",['C'],"tolfenamicacid norfloxacin fatigue,slowwoundhealing,easybruising",False,
Lornoxicam,Norfloxacin,C,"Gumbleeding,bruising,tiredness",['C'],"lornoxicam norfloxacin gumbleeding,bruising,tiredness",False,
Bromfenac,Norfloxacin,C,"Slowhealing,lowenergy,bruising",['C'],"bromfenac norfloxacin slowhealing,lowenergy,bruising",False,
Propacetamol,Norfloxacin,B6,"Fatigue,irritability,",['B6'],"propacetamol norfloxacin fatigue,irritability,",False,
Parecoxib,Norfloxacin,C,"Easybruising,gumissues,fatigue",['C'],"parecoxib norfloxacin easybruising,gumissues,fatigue",False,
Phenylazone,Norfloxacin,C,"Bruising,fatigue,slowwoundhealing",['C'],"phenylazone norfloxacin bruising,fatigue,slowwoundhealing",False,
Acemetacin,Norfloxacin,C,"Gumbleeding,fatigue,slowhealing",['C'],"acemetacin norfloxacin gumbleeding,fatigue,slowhealing",False,
Nabumetone,Norfloxacin,C,"Fatigue,bruising,poorhealing",['C'],"nabumetone norfloxacin fatigue,bruising,poorhealing",False,
Epirizole,Norfloxacin,C,"Slowwoundhealing,lowenergy,bruising",['C'],"epirizole norfloxacin slowwoundhealing,lowenergy,bruising",False,
Ketorolac,Norfloxacin,C,"Fatigue,easybruising,gumbleeding",['C'],"ketorolac norfloxacin fatigue,easybruising,gumbleeding",False,
Salsalate,Norfloxacin,C,"Gumbleeding,slowhealing,tiredness",['C'],"salsalate norfloxacin gumbleeding,slowhealing,tiredness",False,
Aceclofenac,Norfloxacin,C,"Bruising,fatigue,slowwoundrepair",['C'],"aceclofenac norfloxacin bruising,fatigue,slowwoundrepair",False,
Niflumicacid,Norfloxacin,C,"Gumissues,bruising,lowenergy",['C'],"niflumicacid norfloxacin gumissues,bruising,lowenergy",False,
Zaltoprofen,Norfloxacin,C,"Fatigue,slowhealing,easybruising",['C'],"zaltoprofen norfloxacin fatigue,slowhealing,easybruising",False,
Naproxen,Norfloxacin,C,"Bruising,gumbleeding,fatigue",['C'],"naproxen norfloxacin bruising,gumbleeding,fatigue",False,
Pimecrolimus,Norfloxacin,D,"Muscleweakness,bonepain,lowenergy",['D'],"pimecrolimus norfloxacin muscleweakness,bonepain,lowenergy",False,
Antipyrine,Norfloxacin,C,"Fatigue,gumbleeding,bruising",['C'],"antipyrine norfloxacin fatigue,gumbleeding,bruising",False,
Meloxicam,Norfloxacin,C,"Slowwoundhealing,fatigue,easybruising",['C'],"meloxicam norfloxacin slowwoundhealing,fatigue,easybruising",False,
Clonixin,Norfloxacin,C,"Bruising,gumissues,lowenergy",['C'],"clonixin norfloxacin bruising,gumissues,lowenergy",False,
Piroxicam,Norfloxacin,C,"Gumbleeding,fatigue,slowhealing",['C'],"piroxicam norfloxacin gumbleeding,fatigue,slowhealing",False,
Fenoprofen,Norfloxacin,C,"Easybruising,lowenergy,slowwoundrepair",['C'],"fenoprofen norfloxacin easybruising,lowenergy,slowwoundrepair",False,
Oxaprozin,Norfloxacin,C,"Fatigue,gumbleeding,bruising",['C'],"oxaprozin norfloxacin fatigue,gumbleeding,bruising",False,
Salicylamide,Norfloxacin,C,"Slowhealing,fatigue,bruising",['C'],"salicylamide norfloxacin slowhealing,fatigue,bruising",False,
Loxoprofen,Norfloxacin,C,"Fatigue,gumissues,easybruising",['C'],"loxoprofen norfloxacin fatigue,gumissues,easybruising",False,
Zileuton,Norfloxacin,C,"Slowwoundhealing,fatigue,bruising",['C'],"zileuton norfloxacin slowwoundhealing,fatigue,bruising",False,
Floctafenine,Norfloxacin,C,"Bruising,fatigue,gumbleeding",['C'],"floctafenine norfloxacin bruising,fatigue,gumbleeding",False,
Ibuprofen,Norfloxacin,C,"Fatigue,slowhealing,gumissues",['C'],"ibuprofen norfloxacin fatigue,slowhealing,gumissues",False,
Etofenamate,Norfloxacin,C,"Easybruising,fatigue,slowwoundrepair",['C'],"etofenamate norfloxacin easybruising,fatigue,slowwoundrepair",False,
Diclofenac,Norfloxacin,C,"Fatigue,bruising,gumbleeding",['C'],"diclofenac norfloxacin fatigue,bruising,gumbleeding",False,
Nepafenac,Norfloxacin,C,"Slowhealing,fatigue,bruising",['C'],"nepafenac norfloxacin slowhealing,fatigue,bruising",False,
Benzydamine,Norfloxacin,C,"Gumbleeding,bruising,lowenergy",['C'],"benzydamine norfloxacin gumbleeding,bruising,lowenergy",False,
Ketoprofen,Norfloxacin,C,"Fatigue,easybruising,gumissues",['C'],"ketoprofen norfloxacin fatigue,easybruising,gumissues",False,
Mefenamicacid,Norfloxacin,C,"Bruising,fatigue,slowwoundrepair",['C'],"mefenamicacid norfloxacin bruising,fatigue,slowwoundrepair",False,
Adapalene,Norfloxacin,A,"Dryskin,nightblindness,slowwoundhealing",['A'],"adapalene norfloxacin dryskin,nightblindness,slowwoundhealing",False,
Magnesiumsalicylate,Norfloxacin,"C,Mg","Fatigue,musclecramps,bruising",['C'],"magnesiumsalicylate norfloxacin fatigue,musclecramps,bruising",False,
Varenicline,Norfloxacin,B12,"Fatigue,ness,tingling,cognitiveissues",['B12'],"varenicline norfloxacin fatigue,ness,tingling,cognitiveissues",False,
Lopinavir,Norfloxacin,B12,"Fatigue,,anemia",['B12'],"lopinavir norfloxacin fatigue,,anemia",False,
Eliglustat,Norfloxacin,B12,"Fatigue,ness,cognitiveissues",['B12'],"eliglustat norfloxacin fatigue,ness,cognitiveissues",False,
Saquinavir,Norfloxacin,B12,"Fatigue,,anemia",['B12'],"saquinavir norfloxacin fatigue,,anemia",False,
Tetrabenazine,Norfloxacin,B6,"Weakness,irritability,",['B6'],"tetrabenazine norfloxacin weakness,irritability,",False,
Pergolide,Norfloxacin,B12,"Fatigue,ness,cognitiveissues",['B12'],"pergolide norfloxacin fatigue,ness,cognitiveissues",False,
Rilpivirine,Norfloxacin,B12,"Fatigue,,anemia",['B12'],"rilpivirine norfloxacin fatigue,,anemia",False,
Nitrofurantoin,Norfloxacin,B12,"Fatigue,,anemia",['B12'],"nitrofurantoin norfloxacin fatigue,,anemia",False,
Paclitaxel,Enoxacin,B12,"Fatigue,,anemia",['B12'],"paclitaxel enoxacin fatigue,,anemia",False,
Docetaxel,Enoxacin,B12,"Fatigue,,anemia",['B12'],"docetaxel enoxacin fatigue,,anemia",False,
Cabazitaxel,Enoxacin,B12,"Fatigue,,anemia",['B12'],"cabazitaxel enoxacin fatigue,,anemia",False,
Acarbose,Enoxacin,B12,"Fatigue,,anemia",['B12'],"acarbose enoxacin fatigue,,anemia",False,
Formestane,Enoxacin,D,"Boneweakness,fatigue",['D'],"formestane enoxacin boneweakness,fatigue",False,
Masoprocol,Enoxacin,C,"Fatigue,gumbleeding,bruising",['C'],"masoprocol enoxacin fatigue,gumbleeding,bruising",False,
Pirfenidone,Enoxacin,B12,"Fatigue,,anemia",['B12'],"pirfenidone enoxacin fatigue,,anemia",False,
Vemurafenib,Enoxacin,D,"Boneweakness,fatigue",['D'],"vemurafenib enoxacin boneweakness,fatigue",False,
Rosiglitazone,Enoxacin,B12,"Fatigue,,anemia",['B12'],"rosiglitazone enoxacin fatigue,,anemia",False,
Acetylsalicylicacid,Enoxacin,C,"Gumbleeding,bruising,fatigue",['C'],"acetylsalicylicacid enoxacin gumbleeding,bruising,fatigue",False,
Diflunisal,Enoxacin,C,"Gumbleeding,bruising,fatigue",['C'],"diflunisal enoxacin gumbleeding,bruising,fatigue",False,
Azelastine,Enoxacin,B12,"Fatigue,,anemia",['B12'],"azelastine enoxacin fatigue,,anemia",False,
Tranilast,Enoxacin,C,"Gumbleeding,slowwoundhealing",['C'],"tranilast enoxacin gumbleeding,slowwoundhealing",False,
Chlorpropamide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"chlorpropamide enoxacin fatigue,,anemia",False,
Glipizide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"glipizide enoxacin fatigue,,anemia",False,
Tolamide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"tolamide enoxacin fatigue,,anemia",False,
Miglitol,Enoxacin,B12,"Fatigue,,anemia",['B12'],"miglitol enoxacin fatigue,,anemia",False,
Nateglinide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"nateglinide enoxacin fatigue,,anemia",False,
Gliclazide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"gliclazide enoxacin fatigue,,anemia",False,
Mifepristone,Enoxacin,B12,"Fatigue,,anemia",['B12'],"mifepristone enoxacin fatigue,,anemia",False,
Metformin,Enoxacin,B12,"Fatigue,,anemia",['B12'],"metformin enoxacin fatigue,,anemia",False,
Tolazamide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"tolazamide enoxacin fatigue,,anemia",False,
Glimepiride,Enoxacin,B12,"Fatigue,,anemia",['B12'],"glimepiride enoxacin fatigue,,anemia",False,
Repaglinide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"repaglinide enoxacin fatigue,,anemia",False,
Glyburide,Enoxacin,B12,"Fatigue,,anemia",['B12'],"glyburide enoxacin fatigue,,anemia",False,
Bromocriptine,Enoxacin,B12,"Fatigue,,anemia",['B12'],"bromocriptine enoxacin fatigue,,anemia",False,
Salicylicacid,Enoxacin,C,"Gumbleeding,bruising,fatigue",['C'],"salicylicacid enoxacin gumbleeding,bruising,fatigue",False,
Naftifine,Enoxacin,B12,"Fatigue,,anemia",['B12'],"naftifine enoxacin fatigue,,anemia",False,
Fluticasonepropionate,Enoxacin,D,"Boneweakness,fatigue",['D'],"fluticasonepropionate enoxacin boneweakness,fatigue",False,
Olopatadine,Enoxacin,B12,"Fatigue,,anemia",['B12'],"olopatadine enoxacin fatigue,,anemia",False,
Fluticasonefuroate,Enoxacin,D,"Boneweakness,fatigue",['D'],"fluticasonefuroate enoxacin boneweakness,fatigue",False,
Prasterone,Enoxacin,D,"Boneweakness,fatigue",['D'],"prasterone enoxacin boneweakness,fatigue",False,
Diflorasone,Enoxacin,D,"Boneweakness,fatigue",['D'],"diflorasone enoxacin boneweakness,fatigue",False,
Flumethasone,Enoxacin,D,"Boneweakness,fatigue",['D'],"flumethasone enoxacin boneweakness,fatigue",False,
Desoximetasone,Enoxacin,D,"Boneweakness,fatigue",['D'],"desoximetasone enoxacin boneweakness,fatigue",False,
Mometasone,Enoxacin,D,"Boneweakness,fatigue",['D'],"mometasone enoxacin boneweakness,fatigue",False,
Clobetasolpropionate,Enoxacin,D,"Boneweakness,fatigue",['D'],"clobetasolpropionate enoxacin boneweakness,fatigue",False,
Estrone,Enoxacin,D,"Boneweakness,fatigue",['D'],"estrone enoxacin boneweakness,fatigue",False,
Difluprednate,Enoxacin,D,"Boneweakness,fatigue",['D'],"difluprednate enoxacin boneweakness,fatigue",False,
Fluprednidene,Enoxacin,D,"Boneweakness,fatigue",['D'],"fluprednidene enoxacin boneweakness,fatigue",False,
Beclomethasonedipropionate,Enoxacin,D,"Boneweakness,fatigue",['D'],"beclomethasonedipropionate enoxacin boneweakness,fatigue",False,
Tixocortol,Enoxacin,D,"Boneweakness,fatigue",['D'],"tixocortol enoxacin boneweakness,fatigue",False,
Fluocinonide,Enoxacin,D,"Boneweakness,fatigue",['D'],"fluocinonide enoxacin boneweakness,fatigue",False,
Ciclesonide,Enoxacin,D,"Boneweakness,fatigue",['D'],"ciclesonide enoxacin boneweakness,fatigue",False,
Cortisoneacetate,Enoxacin,D,"Boneweakness,fatigue",['D'],"cortisoneacetate enoxacin boneweakness,fatigue",False,
Alclometasone,Enoxacin,D,"Boneweakness,fatigue",['D'],"alclometasone enoxacin boneweakness,fatigue",False,
Flunisolide,Enoxacin,D,"Boneweakness,fatigue",['D'],"flunisolide enoxacin boneweakness,fatigue",False,
Triamcinolone,Enoxacin,D,"Boneweakness,fatigue",['D'],"triamcinolone enoxacin boneweakness,fatigue",False,
